name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Events Photographer London,"58 Fitzroy St, London W1T 5BU, Royaume-Uni",freelanceeventsphotographer.co.uk,+44 20 3951 7175,,5.0,51.5241798,-37.0545201
Budget Photographer London,"37 Kirkham St, London SE18 2JU, Royaume-Uni",budgetphotographerlondon.co.uk,+44 7769 313560,,5.0,51.5241798,-37.0545201
Peter James Photography London,,peterjamesphotography.co.uk,+44 7969 432120,,5.0,51.5241798,-37.0545201
Photoshoot in London | Photographer in London,,scalensstudio.com,+44 7835 025841,,4.9,51.5241798,-37.0545201
Karolina Heller Photography,"81 King's Rd, London SW3 4NX, Royaume-Uni",karolinaheller.co.uk,+44 7522 011306,,5.0,51.5241798,-37.0545201
Photographerforhire,"5-7 Buck St, London NW1 8NJ, Royaume-Uni",photographerforhire.co.uk,,,5.0,51.5241798,-37.0545201
IvanWeiss.London Photography,,,,,,51.5241798,-37.0545201
Dan Burman Photography,"14 Bacon St, London E1 6LF, Royaume-Uni",londonphotographer.co.uk,+44 7986 821020,,5.0,51.5241798,-37.0545201
